El	a	xi	p	q	r0	latt_const	latt_type	E_c	C11	C12	C44	Cp	alpha	vac_en	sur_energy	T_m	Fcc-hcp	Fcc-bcc	B
Cu	0.0750624251369062	1.1689454251042	11.29045907899	2.16357837569554	2.53957	3.59150	fcc	-3.46992	1.76634	1.19814	0.82934	6.07512	1.09E-05	1.29018	1.37498	1605.49440	0.01744	0.07406	1.38754
Ni	0.104748384442705	1.52077779422116	11.0667685196819	2.33659036280215	2.475290	3.500589	fcc	-4.354542	2.478980	1.711586	1.130388	6.061461	9.421E-06	1.561125	2.095176	2005.13	0.017221	0.085395	1.967384
Pd	0.122141981482783	1.53175159978061	12.2665997220403	3.23634477772949	2.75093980589675	3.89041638277119	fcc	-3.97108174876487	2.46416528761477	1.71781489312029	0.992493679968771	6.12505937323832	1.44E-05	1.2876258660132	1.37286752092708	2003.66018793519	0.00376186890117447	0.0733213089046858	1.96659835795178
Pt	0.267221019067127	2.56239462168596	11.1060078943022	3.94697478403834	2.75963	3.90271	fcc	-5.76286	3.59645	2.78459	1.06651	6.10139	0.00001	1.33169	1.37930	2225.36253	0.00168	0.07691	3.05520704603861
Rh	0.143112746019491	2.06676601419772	12.1241418472377	2.64322607544717	2.71130920614905	3.83437025112301	fcc	-5.77711945384668	3.57652120118096	2.35333769058403	1.6157245256976	6.03792934946509	8.29E-06	2.07172459811752	1.84314652246222	2881.52719809297	0.0136823119862939	0.115609231081812	2.76106552744967
