Column	Min	Max
p_00	8.122316399999999	13.835889
p_11	8.122316399999999	13.835889
p_01	8.0198217	13.92891
q_00	1.884168	4.6680988
q_11	1.884168	4.6680988
q_01	1.8971964000000001	4.7434650000000005
A_00	0.069571854	0.2837999
A_11	0.069571854	0.2837999
A_01	0.069303861	0.28278788
xi_00	0.9805554	2.8245053999999996
xi_11	0.9805554	2.8245053999999996
xi_01	0.9905643	2.8279091000000003
r0_00	2.1780495	3.2308385000000004
r0_11	2.1780495	3.2308385000000004
r0_01	2.1821283	3.2282832
rc1_00	3.772494	5.595975699999999
rc1_11	3.772494	5.595975699999999
rc1_01	3.7795527	5.591551900000001
rc2_00	4.3561089	6.461677000000001
rc2_11	4.3561089	6.461677000000001
rc2_01	4.3642566	6.4565664
m_0	7.8574221	302.90001
m_1	7.8574221	302.90001
T	198.0	2626.0
H_mix_5	-0.148494069242461	0.08060827394695184
dH_mix_5	2.6513311748225188e-05	2.043129113709856
hc_5	21.120462	50.312746
V_5	3438.765	23684.399
latt_par0_5	2.1772476000000003	4.6153566
latt_par_5	2.2005027	5.781664200000001
iso_compr_5	0.25077294	30.255055000000002
H_mix_95	-0.14836917349334797	0.0807240218004073
dH_mix_95	2.5162481535132258e-05	2.0431291165643986
hc_95	21.248766	50.492425
V_95	3413.6487	20852.359
latt_par0_95	2.1632886	4.631456
latt_par_95	2.1938202	5.5413347
iso_compr_95	0.2516184	30.262428000000003
1El1inEl0	-1.9799604	2.0199899
1El0inEl1	-1.9799604	2.0197576
latt_par0_20	2.14685632337913	4.71340482743405
latt_par0_40	2.13384778601049	4.78702956702175
latt_par0_60	2.1036740849615696	4.72458228246868
latt_par0_80	2.12392388136357	4.68707266297243
imp_en_diff	-3.2131341	3.2799346
b	2.180485949572209	4.639726819763117
c	-6.007912579976663	10.36297163320599
d	-28.539466482286844	23.370853427907736
e	-20.288543928425746	24.850211875639975
f	-8.370485706229836	6.013502382650928
latt_par_0	2.183564984455505	4.568010129146063
latt_par_1	2.183564984455505	4.568010129146063
latt_pat_T_0	2.1962061	8.447902599999999
latt_pat_T_1	2.202057	7.7549618
H_mix_50	-1.3240656	0.7538252232142848
hc_50	16.288767	126.9469
V_50	2900.3931000000002	99321.279
latt_par0_50	2.0993543999999997	4.7346578
latt_par_50	2.0823066000000003	9.3210779
iso_compr_50	0.27722376	1328.0894
